m1 (Msun), m2 (Msun), a0 (km), e0, afinal (km), efinal
4.39674774315 , 0.942544493542 , 624550186.918 , 0.481799862548 , 39910586.0548 , 0
3.6346458083 , 8.8501831178 , 845266379.919 , 0.627289316175 , 35247474.2558 , 0
1.17652649816 , 6.0881939915 , 1443461777.35 , 0.708014193264 , 44192707.2621 , 0
1.99369589153 , 8.70338712815 , 567294692.672 , 0.900545058538 , 5139662.36688 , 0
6.99747013832 , 7.59512471197 , 1093068816.88 , 0.162273027685 , 184013026.314 , 0
7.96866385178 , 9.78371079918 , 176143524.563 , 0.389275957991 , 14039960.1712 , 0
4.53289795768 , 5.74762307757 , 1037335781.5 , 0.84326959643 , 15695518.6075 , 0
7.13807346604 , 8.45814688138 , 598797534.264 , 0.846808785321 , 8832229.79653 , 0
6.41546998969 , 4.32019570653 , 507791195.026 , 0.232526077891 , 65954281.9909 , 0
2.27325818068 , 5.6169536052 , 243152210.159 , 0.0647636424091 , 73459583.1391 , 0
9.61113865115 , 3.574691099 , 1434521150.03 , 0.0119532811688 , 1262945124.41 , 0
6.79983320811 , 4.5493303526 , 585438945.545 , 0.407244967159 , 45986540.5118 , 0
6.23530465204 , 2.16299827894 , 1005569815.18 , 0.684002612437 , 34038380.5572 , 0
0.411691364587 , 3.94891727417 , 140425964.756 , 0.733387344516 , 3934327.59085 , 0
6.3738494265 , 7.22099807241 , 440110702.608 , 0.8780450028 , 5150261.89935 , 0
5.55075301183 , 9.34765959697 , 867273413.451 , 0.999152361263 , 55433.8020329 , 0
0.488291349284 , 8.06862495339 , 835245144.331 , 0.541098149149 , 44828320.6311 , 0
3.90964545243 , 0.797877176148 , 805789515.598 , 0.0347650472746 , 365769158.563 , 0
4.91936052001 , 3.21535811262 , 1284890164.0 , 0.921845158158 , 9244077.04127 , 0
3.54781401892 , 8.47860673683 , 1298541220.73 , 0.00530669229237 , 1298541220.73 , 0
2.90239664469 , 3.73739754993 , 1224121945.89 , 0.978568722737 , 2261980.17709 , 0
7.57901057622 , 7.2342231849 , 71042411.4544 , 0.745687295074 , 1870977.1497 , 0
3.49721074584 , 9.32974863909 , 1237876662.9 , 0.0574930599756 , 411147060.789 , 0
3.83771051679 , 7.1808688724 , 1093124504.2 , 0.566732112777 , 54250808.9642 , 0
6.84236817501 , 2.82743342672 , 173371987.396 , 0.405838396345 , 13473651.5134 , 0
4.23152986381 , 9.68103901424 , 644201348.568 , 0.631044332141 , 25958459.5442 , 0
0.388426547707 , 2.45270832192 , 73887321.348 , 0.716166318928 , 2205619.53595 , 0
5.95641958247 , 7.5120681947 , 203077593.492 , 0.78101185056 , 4416078.13632 , 0
2.75877199304 , 1.92210746413 , 358885742.511 , 0.309614504574 , 36808890.7304 , 0
2.38176633105 , 2.5869418196 , 102981675.971 , 0.695715763202 , 3327811.03437 , 0
1.10888200494 , 0.828931323266 , 417533727.384 , 0.730513057804 , 11653164.2957 , 0
5.15213827378 , 5.50384220425 , 1032896327.1 , 0.505010141037 , 61058602.9486 , 0
7.81616568068 , 9.36592974212 , 265866985.809 , 0.241233095601 , 33336451.9432 , 0
5.14300639133 , 2.757438923 , 539658784.494 , 0.504434794118 , 32099321.1318 , 0
1.8828628112 , 8.17646314428 , 976360461.328 , 0.0200627562952 , 628816372.729 , 0
8.53371876024 , 5.65748605986 , 961403508.749 , 0.163359000703 , 160137950.802 , 0
2.61621285195 , 0.86732703962 , 808399457.312 , 0.922571426165 , 5745941.34521 , 0
0.348178272091 , 5.54398636545 , 610077981.263 , 0.90926337571 , 5123401.13656 , 0
5.49039875433 , 4.62338566246 , 970293494.459 , 0.984489695594 , 1271802.29626 , 0
8.75821767452 , 3.37176328981 , 804496626.238 , 0.196483268396 , 117530751.891 , 0
1.67337909322 , 9.24519732487 , 640566043.166 , 0.621618212357 , 27233895.5883 , 0
9.70687324988 , 8.45548412315 , 400679019.195 , 0.335642608386 , 38377618.27 , 0
1.90651038467 , 8.75324461567 , 1166171206.84 , 0.315487323842 , 116983383.709 , 0
4.23213083761 , 0.749587955601 , 148386231.638 , 0.655962765497 , 5553334.0 , 0
4.85235659936 , 2.61351132007 , 1333393234.02 , 0.535921786406 , 72890663.678 , 0
9.25086456945 , 7.65543043367 , 1301739507.43 , 0.344307214892 , 121557601.698 , 0
3.29235510968 , 5.82848595496 , 764721746.15 , 0.506901784811 , 43672356.1357 , 0
3.22510570425 , 1.23997579166 , 1032887712.96 , 0.463606602526 , 69410595.4271 , 0
6.83578712625 , 2.50171708089 , 136205034.303 , 0.34792849434 , 12602132.13 , 0
1.5682300071 , 2.47168256584 , 603016386.398 , 0.482184446838 , 38707301.4422 , 0
1.61346967795 , 8.25859200238 , 15049116.7693 , 0.439909785881 , 1078228.8404 , 0
0.27698674123 , 4.40087748561 , 153803817.727 , 0.39205795237 , 12608691.9664 , 0
2.62893151196 , 5.69848811053 , 426503196.024 , 0.0563495654218 , 143342953.998 , 0
